Channel	AMBG	RampGain	InputVoltage	ADCvalue
CAL	0	8	0.12	129
CAL	0	9	0.12	131
CAL	0	10	0.12	133
CAL	0	11	0.12	135
CAL	0	12	0.12	138
CAL	0	13	0.12	140
CAL	0	14	0.12	141
CAL	0	15	0.12	143
CAL	0	0	0.13	118
CAL	0	1	0.13	121
CAL	0	2	0.13	123
CAL	0	3	0.13	125
CAL	0	4	0.13	129
CAL	0	5	0.13	131
CAL	0	6	0.13	133
CAL	0	7	0.13	135
CAL	0	8	0.13	138
CAL	0	9	0.13	140
CAL	0	10	0.13	143
CAL	0	11	0.13	145
CAL	0	12	0.13	148
CAL	0	13	0.13	150
CAL	0	14	0.13	152
CAL	0	15	0.13	154
CAL	0	0	0.14	127
CAL	0	1	0.14	129
CAL	0	2	0.14	132
CAL	0	3	0.14	134
CAL	0	4	0.14	137
CAL	0	5	0.14	140
CAL	0	6	0.14	142
CAL	0	7	0.14	144
CAL	0	8	0.14	148
CAL	0	9	0.14	150
CAL	0	10	0.14	152
CAL	0	11	0.14	155
CAL	0	12	0.14	158
CAL	0	13	0.14	160
CAL	0	14	0.14	162
CAL	0	15	0.14	164
CAL	0	0	0.15	135
CAL	0	1	0.15	137
CAL	0	2	0.15	140
CAL	0	3	0.15	142
CAL	0	4	0.15	146
CAL	0	5	0.15	148
CAL	0	6	0.15	151
CAL	0	7	0.15	153
CAL	0	8	0.15	157
CAL	0	9	0.15	159
CAL	0	10	0.15	162
CAL	0	11	0.15	164
CAL	0	12	0.15	168
CAL	0	13	0.15	170
CAL	0	14	0.15	173
CAL	0	15	0.15	174
CAL	0	0	0.16	143
CAL	0	1	0.16	145
CAL	0	2	0.16	148
CAL	0	3	0.16	151
CAL	0	4	0.16	155
CAL	0	5	0.16	157
CAL	0	6	0.16	160
CAL	0	7	0.16	162
CAL	0	8	0.16	166
CAL	0	9	0.16	169
CAL	0	10	0.16	172
CAL	0	11	0.16	174
CAL	0	12	0.16	178
CAL	0	13	0.16	180
CAL	0	14	0.16	183
CAL	0	15	0.16	185
CAL	0	0	0.17	151
CAL	0	1	0.17	153
CAL	0	2	0.17	157
CAL	0	3	0.17	159
CAL	0	4	0.17	163
CAL	0	5	0.17	166
CAL	0	6	0.17	169
CAL	0	7	0.17	171
CAL	0	8	0.17	176
CAL	0	9	0.17	179
CAL	0	10	0.17	182
CAL	0	11	0.17	184
CAL	0	12	0.17	188
CAL	0	13	0.17	191
CAL	0	14	0.17	193
CAL	0	15	0.17	195
CAL	0	0	0.18	159
CAL	0	1	0.18	162
CAL	0	2	0.18	165
CAL	0	3	0.18	168
