Channel	AMBG	RampGain	InputVoltage	ADCvalue
Hrefy	0	15	0.1	125
Hrefy	0	0	0.11	105
Hrefy	0	1	0.11	107
Hrefy	0	2	0.11	109
Hrefy	0	3	0.11	111
Hrefy	0	4	0.11	114
Hrefy	0	5	0.11	115
Hrefy	0	6	0.11	117
Hrefy	0	7	0.11	119
Hrefy	0	8	0.11	122
Hrefy	0	9	0.11	124
Hrefy	0	10	0.11	126
Hrefy	0	11	0.11	128
Hrefy	0	12	0.11	130
Hrefy	0	13	0.11	132
Hrefy	0	14	0.11	134
Hrefy	0	15	0.11	135
Hrefy	0	0	0.12	113
Hrefy	0	1	0.12	115
Hrefy	0	2	0.12	117
Hrefy	0	3	0.12	119
Hrefy	0	4	0.12	122
Hrefy	0	5	0.12	124
Hrefy	0	6	0.12	126
Hrefy	0	7	0.12	128
Hrefy	0	8	0.12	131
Hrefy	0	9	0.12	134
Hrefy	0	10	0.12	136
Hrefy	0	11	0.12	138
Hrefy	0	12	0.12	141
Hrefy	0	13	0.12	143
Hrefy	0	14	0.12	144
Hrefy	0	15	0.12	146
Hrefy	0	0	0.13	121
Hrefy	0	1	0.13	123
Hrefy	0	2	0.13	125
Hrefy	0	3	0.13	128
Hrefy	0	4	0.13	131
Hrefy	0	5	0.13	133
Hrefy	0	6	0.13	135
Hrefy	0	7	0.13	137
Hrefy	0	8	0.13	141
Hrefy	0	9	0.13	143
Hrefy	0	10	0.13	145
Hrefy	0	11	0.13	147
Hrefy	0	12	0.13	151
Hrefy	0	13	0.13	153
Hrefy	0	14	0.13	155
Hrefy	0	15	0.13	156
Hrefy	0	0	0.14	129
Hrefy	0	1	0.14	131
Hrefy	0	2	0.14	134
Hrefy	0	3	0.14	136
Hrefy	0	4	0.14	140
Hrefy	0	5	0.14	142
Hrefy	0	6	0.14	144
Hrefy	0	7	0.14	146
Hrefy	0	8	0.14	150
Hrefy	0	9	0.14	153
Hrefy	0	10	0.14	155
Hrefy	0	11	0.14	157
Hrefy	0	12	0.14	161
Hrefy	0	13	0.14	163
Hrefy	0	14	0.14	165
Hrefy	0	15	0.14	167
Hrefy	0	0	0.15	137
Hrefy	0	1	0.15	139
Hrefy	0	2	0.15	142
Hrefy	0	3	0.15	144
Hrefy	0	4	0.15	148
Hrefy	0	5	0.15	151
Hrefy	0	6	0.15	153
Hrefy	0	7	0.15	155
Hrefy	0	8	0.15	160
Hrefy	0	9	0.15	162
Hrefy	0	10	0.15	165
Hrefy	0	11	0.15	167
Hrefy	0	12	0.15	171
Hrefy	0	13	0.15	173
Hrefy	0	14	0.15	175
Hrefy	0	15	0.15	177
Hrefy	0	0	0.16	145
Hrefy	0	1	0.16	148
Hrefy	0	2	0.16	150
Hrefy	0	3	0.16	153
Hrefy	0	4	0.16	157
Hrefy	0	5	0.16	160
Hrefy	0	6	0.16	162
Hrefy	0	7	0.16	164
Hrefy	0	8	0.16	169
Hrefy	0	9	0.16	172
Hrefy	0	10	0.16	174
Hrefy	0	11	0.16	177
Hrefy	0	12	0.16	181
